tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-10-02,2024-10-02 15:44:33+00:00,2024-10-02 18:41:03+00:00,176.5,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-10-16,2024-10-16 01:38:47+00:00,2024-10-16 02:10:32+00:00,31.8,KAUS,Austin Bergstrom International Airport,Austin,US,30.197535,-97.662015,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-10-15,2024-10-15 21:51:23+00:00,2024-10-15 22:18:13+00:00,26.8,XS39,,,,,,KAUS,Austin Bergstrom International Airport,Austin,US,30.197535,-97.662015
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-10-18,2024-10-18 12:42:12+00:00,2024-10-18 14:15:42+00:00,93.5,KMKC,Charles B. Wheeler Downtown Airport,Kansas City,US,39.123199,-94.592796,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-10-17,2024-10-17 18:58:09+00:00,2024-10-17 20:19:30+00:00,81.4,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812,KMCI,Kansas City International Airport,Kansas City,US,39.301699,-94.713893
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-10-28,2024-10-28 17:01:20+00:00,2024-10-28 18:30:01+00:00,88.7,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812,59II,Posey Patch Ultralightport,Mount Vernon,US,37.9039,-87.790298
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-10-29,2024-10-29 14:59:18+00:00,2024-10-29 16:29:47+00:00,90.5,,,,,,,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-10-31,2024-10-31 16:23:22+00:00,2024-10-31 20:18:30+00:00,235.1,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812,KAPC,Napa County Airport,Napa,US,38.2132,-122.280998
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-11-03,2024-11-03 17:51:20+00:00,2024-11-03 21:05:41+00:00,194.4,KAPC,Napa County Airport,Napa,US,38.2132,-122.280998,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812
N102CE,CENTERPOINT ENERGY INC,a00c59,2024-11-04,2024-11-04 18:42:09+00:00,2024-11-04 21:23:38+00:00,161.5,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799
