tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-02,2024-10-02 22:25:03+00:00,2024-10-02 22:41:15+00:00,16.2,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-02,2024-10-02 19:14:22+00:00,2024-10-02 21:58:41+00:00,164.3,KPHX,Phoenix Sky Harbor International Airport,Phoenix,US,33.435302,-112.005905,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-01,2024-10-01 13:22:37+00:00,2024-10-01 16:25:16+00:00,182.6,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,KPHX,Phoenix Sky Harbor International Airport,Phoenix,US,33.435302,-112.005905
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-01,2024-10-01 12:17:51+00:00,2024-10-01 12:38:19+00:00,20.5,,,,,,,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-03,2024-10-03 14:13:56+00:00,2024-10-03 15:23:59+00:00,70.0,,,,,,,KRNH,New Richmond Regional Airport,New Richmond,US,45.1483,-92.538101
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-08,2024-10-08 16:00:03+00:00,2024-10-08 17:20:20+00:00,80.3,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,KPIT,Pittsburgh International Airport,Pittsburgh,US,40.491501,-80.232903
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-08,2024-10-08 14:33:52+00:00,2024-10-08 14:54:33+00:00,20.7,,,,,,,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-10,2024-10-10 14:19:02+00:00,2024-10-10 15:20:43+00:00,61.7,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,0OH9,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-10,2024-10-10 12:35:42+00:00,2024-10-10 13:00:16+00:00,24.6,,,,,,,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-09,2024-10-09 16:43:44+00:00,2024-10-09 17:00:33+00:00,16.8,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-09,2024-10-09 15:08:17+00:00,2024-10-09 16:12:56+00:00,64.6,KOSU,The Ohio State University Airport - Don Scott Field,Columbus,US,40.0798,-83.072998,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-09,2024-10-09 14:16:20+00:00,2024-10-09 14:42:23+00:00,26.0,88PA,Mc Coy Airport,Clinton,US,40.539199829100006,-80.4131011963,KOSU,The Ohio State University Airport - Don Scott Field,Columbus,US,40.0798,-83.072998
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-11,2024-10-11 20:40:59+00:00,2024-10-11 21:45:03+00:00,64.1,KOSU,The Ohio State University Airport - Don Scott Field,Columbus,US,40.0798,-83.072998,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-16,2024-10-16 19:36:43+00:00,2024-10-16 19:51:59+00:00,15.3,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-16,2024-10-16 16:53:03+00:00,2024-10-16 17:18:29+00:00,25.4,,,,,,,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-16,2024-10-16 12:49:06+00:00,2024-10-16 13:04:53+00:00,15.8,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-16,2024-10-16 11:32:51+00:00,2024-10-16 11:59:39+00:00,26.8,,,,,,,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-15,2024-10-15 14:11:16+00:00,2024-10-15 14:59:45+00:00,48.5,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905,K2H2,Jerry Sumners Sr Aurora Municipal Airport,Aurora,US,36.962299,-93.695297
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-15,2024-10-15 12:45:42+00:00,2024-10-15 13:30:56+00:00,45.2,,,,,,,TS63,Square Air Airport,McKinney,US,33.245493,-96.565834
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-17,2024-10-17 23:16:59+00:00,2024-10-18 00:06:39+00:00,49.7,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905,77MO,Springhill Airport,Mount Vernon,US,37.090301513671875,-93.76940155029295
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-17,2024-10-17 21:59:47+00:00,2024-10-17 22:44:55+00:00,45.1,,,,,,,TS63,Square Air Airport,McKinney,US,33.245493,-96.565834
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-25,2024-10-25 21:37:57+00:00,2024-10-25 22:02:08+00:00,24.2,,,,,,,4MO5,JJ Gyro Park Airport,Gerald,US,38.380081,-91.34568
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-10-30,2024-10-30 13:04:51+00:00,2024-10-30 13:27:26+00:00,22.6,,,,,,,SN59,Hermon Farm Airport,Gardner,US,38.85279846191406,-94.91000366210938
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-07,2024-11-07 14:02:06+00:00,2024-11-07 14:47:39+00:00,45.6,,,,,,,KK36,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-10,2024-11-10 15:06:13+00:00,2024-11-10 15:29:24+00:00,23.2,,,,,,,79MU,Dunham Private Airport,Smithville,US,39.329833,-94.557931
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-19,2024-11-19 17:54:23+00:00,2024-11-19 18:15:51+00:00,21.5,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-19,2024-11-19 15:36:22+00:00,2024-11-19 16:05:51+00:00,29.5,K3DW,Downtown Airport,Springfield,US,37.222705,-93.248348,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-18,2024-11-18 14:56:32+00:00,2024-11-18 15:41:25+00:00,44.9,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905,MO34,Ellingsen Field,Everton,US,37.359699,-93.662498
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-18,2024-11-18 13:16:49+00:00,2024-11-18 14:15:52+00:00,59.0,,,,,,,TS63,Square Air Airport,McKinney,US,33.245493,-96.565834
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-21,2024-11-21 13:59:34+00:00,2024-11-21 14:27:54+00:00,28.3,2MO1,Bird Field,Willard,US,37.31999969482422,-93.4198989868164,KMKC,Charles B. Wheeler Downtown Airport,Kansas City,US,39.123199,-94.592796
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-21,2024-11-21 00:02:23+00:00,2024-11-21 00:48:52+00:00,46.5,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905,MU13,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-20,2024-11-20 22:28:20+00:00,2024-11-20 23:18:41+00:00,50.4,,,,,,,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-20,2024-11-20 20:35:35+00:00,2024-11-20 20:53:59+00:00,18.4,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-11-20,2024-11-20 19:29:13+00:00,2024-11-20 19:59:26+00:00,30.2,2MO1,Bird Field,Willard,US,37.31999969482422,-93.4198989868164,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-03,2024-12-03 14:10:40+00:00,2024-12-03 14:58:57+00:00,48.3,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KDSM,Des Moines International Airport,Des Moines,US,41.534027,-93.656719
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-02,2024-12-02 21:34:46+00:00,2024-12-02 22:35:24+00:00,60.6,KFCM,Flying Cloud Airport,Minneapolis,US,44.8272018433,-93.4570999146,,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-02,2024-12-02 13:45:54+00:00,2024-12-02 15:11:27+00:00,85.6,,,,,,,KFCM,Flying Cloud Airport,Minneapolis,US,44.8272018433,-93.4570999146
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-06,2024-12-06 13:41:48+00:00,2024-12-06 14:28:21+00:00,46.6,,,,,,,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-11,2024-12-11 14:04:09+00:00,2024-12-11 14:48:24+00:00,44.2,2MO1,Bird Field,Willard,US,37.31999969482422,-93.4198989868164,6LL2,Young Airport,Viola,US,41.16450119018555,-90.55740356445312
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-16,2024-12-16 13:37:52+00:00,2024-12-16 14:38:06+00:00,60.2,,,,,,,TS63,Square Air Airport,McKinney,US,33.245493,-96.565834
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-19,2024-12-19 22:23:05+00:00,2024-12-19 23:15:46+00:00,52.7,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-19,2024-12-19 20:58:26+00:00,2024-12-19 21:49:49+00:00,51.4,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,TS63,Square Air Airport,McKinney,US,33.245493,-96.565834
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-18,2024-12-18 22:01:37+00:00,2024-12-18 22:33:33+00:00,31.9,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-18,2024-12-18 18:29:00+00:00,2024-12-18 19:03:14+00:00,34.2,2MO1,Bird Field,Willard,US,37.31999969482422,-93.4198989868164,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-18,2024-12-18 13:45:21+00:00,2024-12-18 14:16:51+00:00,31.5,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-18,2024-12-18 12:42:09+00:00,2024-12-18 13:09:44+00:00,27.6,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-26,2024-12-26 20:05:46+00:00,2024-12-26 21:36:14+00:00,90.5,,,,,,,41MO,Sawyer Creek Airport,Rogersville,US,37.186944,-93.094167
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-26,2024-12-26 16:27:43+00:00,2024-12-26 18:29:11+00:00,121.5,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-31,2024-12-31 16:55:34+00:00,2024-12-31 18:23:22+00:00,87.8,,,,,,,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2024-12-31,2024-12-31 13:34:17+00:00,2024-12-31 15:35:29+00:00,121.2,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,,,,,,
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-14,2025-01-14 21:01:00+00:00,2025-01-14 21:34:34+00:00,33.6,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-14,2025-01-14 14:38:17+00:00,2025-01-14 15:08:05+00:00,29.8,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-13,2025-01-13 15:01:54+00:00,2025-01-13 15:45:01+00:00,43.1,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-13,2025-01-13 13:23:35+00:00,2025-01-13 14:30:21+00:00,66.8,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-15,2025-01-15 23:50:52+00:00,2025-01-16 00:40:56+00:00,50.1,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-15,2025-01-15 22:23:38+00:00,2025-01-15 23:25:22+00:00,61.7,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-15,2025-01-15 19:07:46+00:00,2025-01-15 19:37:58+00:00,30.2,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-15,2025-01-15 17:52:42+00:00,2025-01-15 18:26:14+00:00,33.5,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-15,2025-01-15 13:43:47+00:00,2025-01-15 14:16:17+00:00,32.5,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-15,2025-01-15 12:39:53+00:00,2025-01-15 13:09:26+00:00,29.6,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KSUS,Spirit of St Louis Airport,St Louis,US,38.662102,-90.652
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-22,2025-01-22 22:23:04+00:00,2025-01-22 23:22:15+00:00,59.2,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-21,2025-01-21 15:11:00+00:00,2025-01-21 16:00:12+00:00,49.2,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-21,2025-01-21 13:23:11+00:00,2025-01-21 14:20:36+00:00,57.4,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KTKI,McKinney National Airport,Dallas,US,33.177898,-96.5905
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-24,2025-01-24 17:33:00+00:00,2025-01-24 19:32:03+00:00,119.0,KCLT,Charlotte Douglas International Airport,Charlotte,US,35.2140007019043,-80.94309997558594,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-24,2025-01-24 13:42:40+00:00,2025-01-24 15:19:43+00:00,97.0,KSGF,Springfield Branson National Airport,Springfield,US,37.245047,-93.388596,KCLT,Charlotte Douglas International Airport,Charlotte,US,35.2140007019043,-80.94309997558594
N923GS,"GREAT SOUTHERN BANCORP, INC.",acc9f6,2025-01-26,2025-01-26 16:31:35+00:00,2025-01-26 16:50:17+00:00,18.7,KLXT,Lee's Summit Municipal Airport,Lee's Summit,US,38.959702,-94.371399,MO34,Ellingsen Field,Everton,US,37.359699,-93.662498
