tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N765M,"Macy's, Inc.",aa552e,2024-10-02,2024-10-02 18:32:18+00:00,2024-10-02 19:24:06+00:00,51.8,KCLT,Charlotte Douglas International Airport,Charlotte,US,35.2140007019043,-80.94309997558594,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945
N765M,"Macy's, Inc.",aa552e,2024-10-02,2024-10-02 10:14:07+00:00,2024-10-02 11:39:21+00:00,85.2,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799,KCLT,Charlotte Douglas International Airport,Charlotte,US,35.2140007019043,-80.94309997558594
N765M,"Macy's, Inc.",aa552e,2024-10-01,2024-10-01 18:11:11+00:00,2024-10-01 19:30:14+00:00,79.0,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799
N765M,"Macy's, Inc.",aa552e,2024-10-23,2024-10-23 13:54:23+00:00,2024-10-23 19:27:12+00:00,332.8,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984,KBUR,Hollywood Burbank/Bob Hope Airport,Burbank,US,34.202834,-118.35805
N765M,"Macy's, Inc.",aa552e,2024-10-23,2024-10-23 11:13:07+00:00,2024-10-23 12:35:54+00:00,82.8,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984
N765M,"Macy's, Inc.",aa552e,2024-10-26,2024-10-26 01:57:35+00:00,2024-10-26 03:18:07+00:00,80.5,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945
N765M,"Macy's, Inc.",aa552e,2024-10-25,2024-10-25 20:42:48+00:00,2024-10-26 01:21:19+00:00,278.5,KBUR,Hollywood Burbank/Bob Hope Airport,Burbank,US,34.202834,-118.35805,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984
N765M,"Macy's, Inc.",aa552e,2024-10-28,2024-10-28 11:15:25+00:00,2024-10-28 12:38:36+00:00,83.2,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799
N765M,"Macy's, Inc.",aa552e,2024-10-30,2024-10-30 11:51:08+00:00,2024-10-30 13:13:03+00:00,81.9,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945
N765M,"Macy's, Inc.",aa552e,2024-11-13,2024-11-13 16:39:38+00:00,2024-11-13 17:26:29+00:00,46.8,KEDC,Austin Executive Airport,Pflugerville,US,30.398049,-97.566909,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N765M,"Macy's, Inc.",aa552e,2024-11-13,2024-11-13 13:52:25+00:00,2024-11-13 14:18:13+00:00,25.8,KIAH,George Bush Intercontinental Airport,Houston,US,29.9844,-95.3414,KEDC,Austin Executive Airport,Pflugerville,US,30.398049,-97.566909
N765M,"Macy's, Inc.",aa552e,2024-11-12,2024-11-12 16:25:50+00:00,2024-11-12 19:46:08+00:00,200.3,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984,KDWH,David Wayne Hooks Memorial Airport,Houston,US,30.0618000031,-95.5528030396
N765M,"Macy's, Inc.",aa552e,2024-11-12,2024-11-12 13:55:48+00:00,2024-11-12 15:21:48+00:00,86.0,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984
N765M,"Macy's, Inc.",aa552e,2024-11-14,2024-11-14 14:53:48+00:00,2024-11-14 16:18:35+00:00,84.8,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945
N765M,"Macy's, Inc.",aa552e,2024-11-27,2024-11-27 18:14:32+00:00,2024-11-27 22:38:01+00:00,263.5,KBUR,Hollywood Burbank/Bob Hope Airport,Burbank,US,34.202834,-118.35805,KEWR,Newark Liberty International Airport,Newark,US,40.6894,-74.170545
N765M,"Macy's, Inc.",aa552e,2024-11-26,2024-11-26 21:06:40+00:00,2024-11-27 02:08:07+00:00,301.4,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945,KBUR,Hollywood Burbank/Bob Hope Airport,Burbank,US,34.202834,-118.35805
N765M,"Macy's, Inc.",aa552e,2024-12-01,2024-12-01 01:35:38+00:00,2024-12-01 05:03:10+00:00,207.5,KBUR,Hollywood Burbank/Bob Hope Airport,Burbank,US,34.202834,-118.35805,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,39.102357,-84.418945
N765M,"Macy's, Inc.",aa552e,2024-11-30,2024-11-30 18:52:22+00:00,2024-12-01 00:42:27+00:00,350.1,KEWR,Newark Liberty International Airport,Newark,US,40.6894,-74.170545,KBUR,Hollywood Burbank/Bob Hope Airport,Burbank,US,34.202834,-118.35805
N765M,"Macy's, Inc.",aa552e,2024-12-03,2024-12-03 13:11:21+00:00,2024-12-03 14:59:37+00:00,108.3,KFRG,Republic Airport,East Farmingdale,US,40.728576,-73.414267,KPWK,Chicago Executive Airport,Chicago/Prospect Heights/Wheeling,US,42.114222,-87.901494
