tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N1MU,Murphy USA Inc.,a00128,2024-10-07,2024-10-07 14:19:04+00:00,2024-10-07 16:40:36+00:00,141.5,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817
N1MU,Murphy USA Inc.,a00128,2024-10-07,2024-10-07 12:40:41+00:00,2024-10-07 13:16:08+00:00,35.4,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-10-10,2024-10-10 15:12:24+00:00,2024-10-10 17:22:09+00:00,129.8,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-10-14,2024-10-14 18:55:44+00:00,2024-10-14 20:53:22+00:00,117.6,,,,,,,CYYZ,Toronto Pearson International Airport,Toronto,CA,43.675935,-79.629421
N1MU,Murphy USA Inc.,a00128,2024-10-13,2024-10-13 20:24:44+00:00,2024-10-13 20:51:38+00:00,26.9,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-10-13,2024-10-13 18:20:11+00:00,2024-10-13 18:57:20+00:00,37.2,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-10-16,2024-10-16 21:54:41+00:00,2024-10-16 23:53:15+00:00,118.6,KSYR,Syracuse Hancock International Airport,Syracuse,US,43.11119842529297,-76.1063003540039,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-10-16,2024-10-16 20:36:58+00:00,2024-10-16 21:07:55+00:00,31.0,CYHU,Montréal / Saint-Hubert Metropolitan Airport,Montréal,CA,45.517502,-73.416901,NY72,Poolsbrook Aerodrome,Manlius,US,43.07229995727539,-75.9384994506836
N1MU,Murphy USA Inc.,a00128,2024-10-15,2024-10-15 22:10:47+00:00,2024-10-15 23:18:12+00:00,67.4,CYYZ,Toronto Pearson International Airport,Toronto,CA,43.675935,-79.629421,CYHU,Montréal / Saint-Hubert Metropolitan Airport,Montréal,CA,45.517502,-73.416901
N1MU,Murphy USA Inc.,a00128,2024-10-17,2024-10-17 21:57:35+00:00,2024-10-17 22:36:58+00:00,39.4,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-10-22,2024-10-22 18:10:30+00:00,2024-10-22 18:49:47+00:00,39.3,KSHV,Shreveport Regional Airport,Shreveport,US,32.446602,-93.8256,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-10-24,2024-10-24 17:22:13+00:00,2024-10-24 17:51:40+00:00,29.4,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KSHV,Shreveport Regional Airport,Shreveport,US,32.446602,-93.8256
N1MU,Murphy USA Inc.,a00128,2024-10-26,2024-10-26 18:31:10+00:00,2024-10-26 20:44:14+00:00,133.1,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-10-25,2024-10-25 12:20:44+00:00,2024-10-25 14:02:17+00:00,101.6,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-10-25,2024-10-25 11:07:43+00:00,2024-10-25 11:44:55+00:00,37.2,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-11-05,2024-11-05 18:09:33+00:00,2024-11-05 22:07:09+00:00,237.6,KMMU,Morristown Municipal Airport,Morristown,US,40.799062,-74.414949,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-11-04,2024-11-04 16:00:42+00:00,2024-11-04 18:01:42+00:00,121.0,,,,,,,KMMU,Morristown Municipal Airport,Morristown,US,40.799062,-74.414949
N1MU,Murphy USA Inc.,a00128,2024-11-04,2024-11-04 14:28:52+00:00,2024-11-04 14:53:36+00:00,24.7,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-11-04,2024-11-04 12:59:47+00:00,2024-11-04 13:40:22+00:00,40.6,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-11-08,2024-11-08 18:54:24+00:00,2024-11-08 21:46:32+00:00,172.1,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KSBA,Santa Barbara Municipal Airport,Santa Barbara,US,34.426201,-119.839996
N1MU,Murphy USA Inc.,a00128,2024-11-08,2024-11-08 16:38:49+00:00,2024-11-08 17:32:47+00:00,54.0,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-11-11,2024-11-11 21:09:01+00:00,2024-11-11 23:44:32+00:00,155.5,KSMX,Santa Maria Public Airport Captain G Allan Hancock Field,Santa Maria,US,34.898899,-120.457001,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-11-10,2024-11-10 21:23:21+00:00,2024-11-11 00:39:14+00:00,195.9,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KSMX,Santa Maria Public Airport Captain G Allan Hancock Field,Santa Maria,US,34.898899,-120.457001
N1MU,Murphy USA Inc.,a00128,2024-11-10,2024-11-10 17:50:21+00:00,2024-11-10 20:18:29+00:00,148.1,KSBA,Santa Barbara Municipal Airport,Santa Barbara,US,34.426201,-119.839996,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-11-13,2024-11-13 17:11:03+00:00,2024-11-13 17:47:58+00:00,36.9,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-11-13,2024-11-13 15:10:42+00:00,2024-11-13 15:36:27+00:00,25.8,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-11-13,2024-11-13 14:09:47+00:00,2024-11-13 14:46:28+00:00,36.7,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-11-12,2024-11-12 00:14:05+00:00,2024-11-12 00:39:38+00:00,25.6,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-11-18,2024-11-18 19:27:35+00:00,2024-11-18 20:04:48+00:00,37.2,,,,,,,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782
