tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N561FX,NORDSTROM INC,a72b34,2024-10-02,2024-10-02 15:53:06+00:00,2024-10-02 17:10:51+00:00,77.8,,,,,,,KPVU,Provo Municipal Airport,Provo,US,40.218894,-111.722445
N561FX,NORDSTROM INC,a72b34,2024-10-02,2024-10-02 14:48:06+00:00,2024-10-02 15:09:22+00:00,21.3,KLAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997,KPSP,Palm Springs International Airport,Palm Springs,US,33.8297,-116.507004
N561FX,NORDSTROM INC,a72b34,2024-10-01,2024-10-01 20:56:24+00:00,2024-10-01 21:50:40+00:00,54.3,KMRY,Monterey Regional Airport,Monterey,US,36.586777,-121.844183,KLAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997
N561FX,NORDSTROM INC,a72b34,2024-10-04,2024-10-04 20:56:31+00:00,2024-10-04 22:55:08+00:00,118.6,,,,,,,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821
N561FX,NORDSTROM INC,a72b34,2024-10-04,2024-10-04 18:26:31+00:00,2024-10-04 18:47:46+00:00,21.2,CYVR,Vancouver International Airport,Vancouver,CA,49.193901,-123.183998,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-10-04,2024-10-04 01:59:31+00:00,2024-10-04 03:53:22+00:00,113.8,KMRY,Monterey Regional Airport,Monterey,US,36.586777,-121.844183,CYVR,Vancouver International Airport,Vancouver,CA,49.193901,-123.183998
N561FX,NORDSTROM INC,a72b34,2024-10-03,2024-10-03 23:17:42+00:00,2024-10-04 00:46:14+00:00,88.5,,,,,,,3CA9,Clark Ranch Airport,Soledad,US,36.36330032348633,-121.30999755859376
N561FX,NORDSTROM INC,a72b34,2024-10-03,2024-10-03 20:23:33+00:00,2024-10-03 20:43:28+00:00,19.9,KPVU,Provo Municipal Airport,Provo,US,40.218894,-111.722445,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-10-06,2024-10-06 16:10:00+00:00,2024-10-06 17:28:57+00:00,79.0,KMRY,Monterey Regional Airport,Monterey,US,36.586777,-121.844183,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-10-05,2024-10-05 22:32:37+00:00,2024-10-05 23:01:55+00:00,29.3,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-10-05,2024-10-05 21:11:17+00:00,2024-10-05 21:45:29+00:00,34.2,KSAN,San Diego International Airport,San Diego,US,32.733601,-117.190002,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998
N561FX,NORDSTROM INC,a72b34,2024-10-05,2024-10-05 18:21:33+00:00,2024-10-05 19:02:06+00:00,40.6,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998,KSAN,San Diego International Airport,San Diego,US,32.733601,-117.190002
N561FX,NORDSTROM INC,a72b34,2024-10-05,2024-10-05 00:41:34+00:00,2024-10-05 01:30:43+00:00,49.2,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998
N561FX,NORDSTROM INC,a72b34,2024-10-08,2024-10-08 13:57:54+00:00,2024-10-08 16:51:57+00:00,174.0,,,,,,,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-10-08,2024-10-08 11:58:36+00:00,2024-10-08 13:02:16+00:00,63.7,KTPA,Tampa International Airport,Tampa,US,27.9755,-82.533203,KBHM,Birmingham-Shuttlesworth International Airport,Birmingham,US,33.562877,-86.750712
