tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N543GL,SKECHERS USA INC,a6e3b2,2024-10-04,2024-10-04 23:27:43+00:00,2024-10-04 23:47:55+00:00,20.2,KLAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997,KSBA,Santa Barbara Municipal Airport,Santa Barbara,US,34.426201,-119.839996
N543GL,SKECHERS USA INC,a6e3b2,2024-10-04,2024-10-04 20:28:44+00:00,2024-10-04 20:42:54+00:00,14.2,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891,KLAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997
N543GL,SKECHERS USA INC,a6e3b2,2024-10-05,2024-10-05 00:14:58+00:00,2024-10-05 00:41:09+00:00,26.2,KSBA,Santa Barbara Municipal Airport,Santa Barbara,US,34.426201,-119.839996,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
N543GL,SKECHERS USA INC,a6e3b2,2024-10-17,2024-10-17 22:53:23+00:00,2024-10-18 01:07:40+00:00,134.3,KLAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997,KPDX,Portland International Airport,Portland,US,45.588699,-122.598
N543GL,SKECHERS USA INC,a6e3b2,2024-10-17,2024-10-17 21:29:46+00:00,2024-10-17 21:43:45+00:00,14.0,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891,KLAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997
N543GL,SKECHERS USA INC,a6e3b2,2024-10-20,2024-10-20 02:22:13+00:00,2024-10-20 04:07:22+00:00,105.2,KPDX,Portland International Airport,Portland,US,45.588699,-122.598,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
N543GL,SKECHERS USA INC,a6e3b2,2024-11-30,2024-11-30 17:19:33+00:00,2024-11-30 21:57:15+00:00,277.7,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799
N543GL,SKECHERS USA INC,a6e3b2,2024-12-09,2024-12-09 21:09:42+00:00,2024-12-10 02:23:16+00:00,313.6,KOPF,Miami-Opa Locka Executive Airport,Miami,US,25.907,-80.278397,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
N543GL,SKECHERS USA INC,a6e3b2,2024-12-12,2024-12-12 17:22:38+00:00,2024-12-12 21:20:02+00:00,237.4,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891,KOPF,Miami-Opa Locka Executive Airport,Miami,US,25.907,-80.278397
N543GL,SKECHERS USA INC,a6e3b2,2024-12-15,2024-12-15 20:45:33+00:00,2024-12-16 01:42:37+00:00,297.1,KOPF,Miami-Opa Locka Executive Airport,Miami,US,25.907,-80.278397,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
N543GL,SKECHERS USA INC,a6e3b2,2024-12-30,2024-12-30 01:25:00+00:00,2024-12-30 02:08:28+00:00,43.5,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
N543GL,SKECHERS USA INC,a6e3b2,2024-12-29,2024-12-29 23:42:26+00:00,2024-12-30 00:42:51+00:00,60.4,,,,,,,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817
N543GL,SKECHERS USA INC,a6e3b2,2024-12-31,2024-12-31 03:53:31+00:00,2024-12-31 04:40:36+00:00,47.1,KMOD,Modesto City Co-Harry Sham Field,Modesto,US,37.625801,-120.954002,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
N543GL,SKECHERS USA INC,a6e3b2,2024-12-31,2024-12-31 02:38:25+00:00,2024-12-31 03:26:50+00:00,48.4,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891,KMOD,Modesto City Co-Harry Sham Field,Modesto,US,37.625801,-120.954002
N543GL,SKECHERS USA INC,a6e3b2,2025-01-06,2025-01-06 16:32:15+00:00,2025-01-06 17:14:32+00:00,42.3,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
N543GL,SKECHERS USA INC,a6e3b2,2025-01-06,2025-01-06 15:01:11+00:00,2025-01-06 15:38:13+00:00,37.0,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817
N543GL,SKECHERS USA INC,a6e3b2,2025-01-09,2025-01-09 01:37:08+00:00,2025-01-09 02:14:40+00:00,37.5,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
N543GL,SKECHERS USA INC,a6e3b2,2025-01-08,2025-01-08 00:39:04+00:00,2025-01-08 01:29:50+00:00,50.8,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817
N543GL,SKECHERS USA INC,a6e3b2,2025-01-17,2025-01-17 00:10:56+00:00,2025-01-17 00:32:41+00:00,21.8,CYYC,Calgary International Airport,Calgary,CA,51.118822,-114.009933,CEX3,Wetaskiwin Regional Airport,Wetaskiwin,CA,52.965000152600005,-113.411003113
N543GL,SKECHERS USA INC,a6e3b2,2025-01-16,2025-01-16 17:20:44+00:00,2025-01-16 19:43:47+00:00,143.0,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891,CYYC,Calgary International Airport,Calgary,CA,51.118822,-114.009933
N543GL,SKECHERS USA INC,a6e3b2,2025-01-19,2025-01-19 07:29:24+00:00,2025-01-19 08:11:04+00:00,41.7,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
N543GL,SKECHERS USA INC,a6e3b2,2025-01-19,2025-01-19 01:24:47+00:00,2025-01-19 02:05:26+00:00,40.6,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891,KLAS,Harry Reid International Airport,Las Vegas,US,36.083361,-115.151817
N543GL,SKECHERS USA INC,a6e3b2,2025-01-18,2025-01-18 02:46:14+00:00,2025-01-18 03:01:29+00:00,15.2,KLAX,Los Angeles International Airport,Los Angeles,US,33.942501,-118.407997,KLGB,Long Beach International Airport,Long Beach,US,33.816523,-118.149891
