tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N191MM,"Workday, Inc.",a16d01,2024-10-16,2024-10-16 22:09:35+00:00,2024-10-16 23:51:21+00:00,101.8,,,,,,,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821
N191MM,"Workday, Inc.",a16d01,2024-10-15,2024-10-15 20:40:11+00:00,2024-10-15 21:50:24+00:00,70.2,KLVK,Livermore Municipal Airport,Livermore,US,37.6934013367,-121.819999695,,,,,,
N191MM,"Workday, Inc.",a16d01,2024-10-17,2024-10-17 21:59:00+00:00,2024-10-17 22:41:52+00:00,42.9,,,,,,,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821
N191MM,"Workday, Inc.",a16d01,2024-10-17,2024-10-17 16:50:00+00:00,2024-10-17 17:13:52+00:00,23.9,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821,KTRK,Truckee Tahoe Airport,Truckee,US,39.318628,-120.140562
N191MM,"Workday, Inc.",a16d01,2024-10-19,2024-10-19 13:33:22+00:00,2024-10-19 16:43:26+00:00,190.1,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821,KAUS,Austin Bergstrom International Airport,Austin,US,30.197535,-97.662015
N191MM,"Workday, Inc.",a16d01,2024-10-21,2024-10-21 02:49:13+00:00,2024-10-21 03:03:22+00:00,14.2,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821,63CN,Meadowlark Field,Livermore,US,37.66130065917969,-121.69400024414062
N191MM,"Workday, Inc.",a16d01,2024-11-06,2024-11-06 14:46:43+00:00,2024-11-06 18:51:28+00:00,244.8,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821,KDNL,Daniel Field,Augusta,US,33.4664993286,-82.0393981934
N191MM,"Workday, Inc.",a16d01,2024-11-06,2024-11-06 01:24:35+00:00,2024-11-06 01:42:04+00:00,17.5,KLVK,Livermore Municipal Airport,Livermore,US,37.6934013367,-121.819999695,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821
N191MM,"Workday, Inc.",a16d01,2024-11-09,2024-11-09 02:43:14+00:00,2024-11-09 07:23:50+00:00,280.6,KAGS,Augusta Regional At Bush Field,Augusta,US,33.3699,-81.9645,KSFO,San Francisco International Airport,San Francisco,US,37.619806,-122.374821
N191MM,"Workday, Inc.",a16d01,2025-01-06,2025-01-06 21:44:24+00:00,2025-01-06 22:14:52+00:00,30.5,,,,,,,63CN,Meadowlark Field,Livermore,US,37.66130065917969,-121.69400024414062
