Date,Price,Open,High,Low,Vol.,Change %
4/15/25,24.04,24.04,24.1,24,1.66M,0.00%
4/14/25,24.04,23.93,24.09,23.85,2.47M,1.09%
4/11/25,23.78,23.8,23.86,23.65,3.23M,-0.21%
4/10/25,23.83,23.73,24.09,23.66,6.59M,0.08%
4/9/25,23.81,22.91,23.95,22.5,12.43M,3.03%
4/8/25,23.11,23.6,23.97,22.91,7.09M,-1.03%
4/7/25,23.35,22.76,23.58,22.62,8.26M,0.04%
4/4/25,23.34,23.39,23.73,23.03,14.03M,-2.59%
4/3/25,23.96,24.15,24.41,23.9,10.28M,-2.00%
4/2/25,24.45,24.42,24.47,24.42,1.42M,-0.04%
4/1/25,24.46,24.44,24.48,24.44,1.73M,0.04%
3/31/25,24.45,24.42,24.48,24.42,1.51M,-0.04%
3/28/25,24.46,24.43,24.48,24.42,1.23M,0.04%
3/27/25,24.45,24.42,24.46,24.42,1.57M,0.08%
3/26/25,24.43,24.41,24.45,24.37,1.72M,0.25%
3/25/25,24.37,24.4,24.41,24.37,1.17M,0.00%
3/24/25,24.37,24.34,24.39,24.32,1.98M,0.08%
3/21/25,24.35,24.27,24.36,24.17,5.74M,0.16%
3/20/25,24.31,24.25,24.33,24.25,1.40M,0.08%
3/19/25,24.29,24.25,24.32,24.24,1.64M,0.21%
3/18/25,24.24,24.23,24.25,24.21,2.00M,0.04%
3/17/25,24.23,24.23,24.26,24.19,2.87M,0.17%
3/14/25,24.19,24.24,24.26,24.15,4.38M,-0.12%
3/13/25,24.22,24.2,24.24,24.2,3.77M,0.08%
3/12/25,24.2,24.24,24.25,24.2,4.50M,-0.12%
3/11/25,24.23,24.2,24.31,24.2,4.77M,-0.78%
3/10/25,24.42,24.39,24.45,24.34,2.79M,-0.12%
3/7/25,24.45,24.41,24.49,24.37,2.99M,0.25%
3/6/25,24.39,24.31,24.43,24.31,3.54M,0.12%
3/5/25,24.36,24.33,24.4,24.29,2.49M,0.41%
3/4/25,24.26,24.28,24.33,24.25,4.32M,0.08%
3/3/25,24.24,24.3,24.33,24.21,2.26M,-0.21%
2/28/25,24.29,24.31,24.34,24.28,1.78M,-0.08%
2/27/25,24.31,24.33,24.36,24.3,1.82M,-0.08%
2/26/25,24.33,24.34,24.38,24.32,1.08M,0.04%
2/25/25,24.32,24.34,24.36,24.31,1.76M,0.08%
2/24/25,24.3,24.29,24.34,24.29,1.20M,-0.08%
2/21/25,24.32,24.35,24.36,24.28,2.01M,-0.12%
2/20/25,24.35,24.34,24.37,24.32,1.59M,0.12%
2/19/25,24.32,24.31,24.35,24.31,2.27M,0.00%
2/18/25,24.32,24.32,24.34,24.32,1.04M,-0.04%
2/14/25,24.33,24.33,24.34,24.3,845.43K,0.08%
2/13/25,24.31,24.3,24.34,24.29,883.55K,0.04%
2/12/25,24.3,24.3,24.33,24.28,1.30M,-0.04%
2/11/25,24.31,24.3,24.33,24.29,1.26M,0.04%
2/10/25,24.3,24.26,24.33,24.24,1.40M,0.21%
2/7/25,24.25,24.28,24.33,24.24,1.63M,-0.33%
2/6/25,24.33,24.31,24.34,24.28,1.45M,0.25%
