Date,Price,Open,High,Low,Vol.,Change %
4/15/25,47.78,49.17,49.94,47.35,2.99M,-2.77%
4/14/25,49.14,50.68,50.68,48.37,3.39M,-0.67%
4/11/25,49.47,48.75,49.63,47.65,3.79M,0.24%
4/10/25,49.35,48.93,50.51,47.71,5.76M,-2.43%
4/9/25,50.58,45.25,51.04,44.9,8.65M,11.21%
4/8/25,45.48,50.6,51.23,44.5,4.97M,-5.66%
4/7/25,48.21,47.72,51.03,45.33,6.29M,-3.96%
4/4/25,50.2,46.27,52.98,45.69,7.41M,2.53%
4/3/25,48.96,52.39,52.6,45.88,10.49M,-17.06%
4/2/25,59.03,56.8,59.65,56.77,1.99M,2.68%
4/1/25,57.49,57.08,57.85,56.1,2.03M,1.25%
3/31/25,56.78,55.73,56.87,55.26,2.01M,-0.40%
3/28/25,57.01,57,57.97,56.43,2.02M,-1.37%
3/27/25,57.8,56.92,58.74,56.2,1.59M,0.78%
3/26/25,57.35,57.56,57.84,56.46,1.55M,0.00%
3/25/25,57.35,58.24,58.46,56.91,1.78M,-1.71%
3/24/25,58.35,57,58.53,56.59,2.09M,4.05%
3/21/25,56.08,55,56.73,54,2.55M,-0.51%
3/20/25,56.37,57.02,57.65,56.35,1.55M,-1.91%
3/19/25,57.47,57.12,57.76,56.69,1.50M,0.67%
3/18/25,57.09,57.3,57.45,56.51,1.42M,-0.59%
3/17/25,57.43,56.75,57.55,56.12,1.96M,1.63%
3/14/25,56.51,56.87,56.98,55.24,2.75M,0.96%
3/13/25,55.97,56.33,56.67,54.5,2.46M,-0.76%
3/12/25,56.4,56.91,57.46,55.85,2.36M,1.33%
3/11/25,55.66,54.98,56.32,54.58,2.84M,1.24%
3/10/25,54.98,58.13,58.13,53.79,4.69M,-6.80%
3/7/25,58.99,57.96,59.09,55.94,3.94M,-0.05%
3/6/25,59.02,58.38,60.32,58.38,2.08M,-0.54%
3/5/25,59.34,58.18,59.55,57.74,1.98M,2.74%
3/4/25,57.76,57.83,58.89,56.1,2.49M,-1.25%
3/3/25,58.49,61.53,61.61,58.1,2.57M,-4.10%
2/28/25,60.99,60.62,61.01,59.46,2.30M,0.33%
2/27/25,60.79,63.35,63.54,60.56,1.44M,-4.04%
2/26/25,63.35,62.76,64.22,62.69,1.79M,2.47%
2/25/25,61.82,61.7,62.45,60.79,1.62M,0.23%
2/24/25,61.68,62.74,63.08,61.68,2.71M,-1.97%
2/21/25,62.92,65.88,65.88,61.72,2.82M,-4.14%
2/20/25,65.64,65.67,65.91,64.6,1.78M,-0.50%
2/19/25,65.97,66.13,66.95,65.39,2.04M,-1.49%
2/18/25,66.97,64.84,67.1,64.3,3.57M,4.48%
2/14/25,64.1,63.64,64.63,62.96,2.26M,-0.31%
2/13/25,64.3,63.48,65.25,62.56,3.47M,2.23%
2/12/25,62.9,63.14,63.67,62.21,3.12M,-1.56%
2/11/25,63.9,64.48,64.74,63.14,4.31M,-1.86%
2/10/25,65.11,66.23,66.4,62.9,6.09M,-1.39%
2/7/25,66.03,69,73.63,64.71,10.54M,-12.68%
2/6/25,75.62,75.82,76.78,74.91,4.61M,1.63%
2/5/25,74.41,73.75,75.01,73.68,2.37M,0.66%
2/4/25,73.92,73.46,74.19,72.95,1.58M,1.85%
2/3/25,72.58,73.16,73.16,70.73,3.56M,-3.66%
1/31/25,75.34,75.91,77.46,75.24,1.94M,-3.71%
1/30/25,78.24,76.88,78.85,76.88,1.88M,1.97%
1/29/25,76.73,77.06,77.85,76.43,1.98M,-0.07%
1/28/25,76.78,75.34,76.9,75.15,1.64M,2.32%
