flight_bin,event_type,n_events,mean_car,median_car,pct_positive
0,All,4,0.04603563455888937,-0.02443582112503325,25.0
1,All,2,0.0707261940143118,0.0707261940143118,100.0
2,All,1,0.0231468755888965,0.0231468755888965,100.0
3,All,4,-0.020435606671211276,-0.048350621499275104,25.0
4,All,1,-0.0033354899349453,-0.0033354899349453,0.0
5+,All,27,-0.011511541060514892,-0.0033472448261729,40.74074074074074
0,Earnings,1,0.2849837432761143,0.2849837432761143,100.0
1,Earnings,1,0.0707261940143118,0.0707261940143118,100.0
2,Earnings,1,0.0231468755888965,0.0231468755888965,100.0
3,Earnings,1,-0.0551964627690526,-0.0551964627690526,0.0
5+,Earnings,11,-0.027125749101514083,-0.0105324018175636,36.36363636363637
0,Material_Agreement,2,-0.040229966334931755,-0.040229966334931755,0.0
4,Material_Agreement,1,-0.0033354899349453,-0.0033354899349453,0.0
5+,Material_Agreement,1,-0.021467791374587,-0.021467791374587,0.0
0,Executive_Change,1,-0.0203812723706933,-0.0203812723706933,0.0
1,Executive_Change,1,0.0707261940143118,0.0707261940143118,100.0
3,Executive_Change,3,-0.0088486546385975,-0.0415047802294976,33.33333333333333
5+,Executive_Change,5,-0.010468089213799058,-0.0125767425252002,20.0
5+,Other,10,0.006137986892633519,0.00314918123576825,60.0
