company_name,event_date,event_type,car_3day,flight_date,days_before,dep_city,dep_lat,dep_lon,arr_city,arr_lat,arr_lon
Newell Brands Inc,2025-02-07,Earnings,-0.2869191771990464,2025-01-13,25,Atlanta,33.87633,-84.30213,Atlanta,33.87633,-84.30213
Newell Brands Inc,2025-02-07,Earnings,-0.2869191771990464,2025-01-16,22,Rogers,36.287487,-94.08774,Atlanta,33.87633,-84.30213
Newell Brands Inc,2025-02-07,Earnings,-0.2869191771990464,2025-01-16,22,Atlanta,33.87633,-84.30213,Eureka Springs,36.339439,-93.825036
Newell Brands Inc,2025-02-07,Earnings,-0.2869191771990464,2025-01-27,11,Rogers,36.287487,-94.08774,Atlanta,33.87633,-84.30213
Newell Brands Inc,2025-02-07,Earnings,-0.2869191771990464,2025-01-27,11,Atlanta,33.87633,-84.30213,Eureka Springs,36.339439,-93.825036
Newell Brands Inc,2025-02-19,Executive_Change,-0.0415047802294976,2025-01-27,23,Rogers,36.287487,-94.08774,Atlanta,33.87633,-84.30213
Newell Brands Inc,2025-02-19,Executive_Change,-0.0415047802294976,2025-01-27,23,Atlanta,33.87633,-84.30213,Eureka Springs,36.339439,-93.825036
Newell Brands Inc,2025-02-19,Executive_Change,-0.0415047802294976,2025-02-18,1,Atlanta,33.87633,-84.30213,Atlanta,33.87633,-84.30213
Workday Inc,2024-11-26,Executive_Change,-0.0551964627690526,2024-11-06,20,San Francisco,37.619806,-122.374821,Augusta,33.4664993286,-82.0393981934
Workday Inc,2024-11-26,Executive_Change,-0.0551964627690526,2024-11-06,20,Livermore,37.6934013367,-121.819999695,San Francisco,37.619806,-122.374821
Workday Inc,2024-11-26,Executive_Change,-0.0551964627690526,2024-11-09,17,Augusta,33.3699,-81.9645,San Francisco,37.619806,-122.374821
Workday Inc,2024-11-26,Earnings,-0.0551964627690526,2024-11-06,20,San Francisco,37.619806,-122.374821,Augusta,33.4664993286,-82.0393981934
Workday Inc,2024-11-26,Earnings,-0.0551964627690526,2024-11-06,20,Livermore,37.6934013367,-121.819999695,San Francisco,37.619806,-122.374821
Workday Inc,2024-11-26,Earnings,-0.0551964627690526,2024-11-09,17,Augusta,33.3699,-81.9645,San Francisco,37.619806,-122.374821
Workday Inc,2024-12-03,Executive_Change,0.0701552790827577,2024-11-06,27,San Francisco,37.619806,-122.374821,Augusta,33.4664993286,-82.0393981934
Workday Inc,2024-12-03,Executive_Change,0.0701552790827577,2024-11-06,27,Livermore,37.6934013367,-121.819999695,San Francisco,37.619806,-122.374821
Workday Inc,2024-12-03,Executive_Change,0.0701552790827577,2024-11-09,24,Augusta,33.3699,-81.9645,San Francisco,37.619806,-122.374821
Workday Inc,2025-02-05,Other,0.0580043526057612,2025-01-06,30,,,,Livermore,37.66130065917969,-121.69400024414062
Workday Inc,2025-02-05,Other,0.0580043526057612,2025-01-13,23,,,,Livermore,37.6934013367,-121.819999695
Workday Inc,2025-02-05,Other,0.0580043526057612,2025-01-13,23,Livermore,37.6934013367,-121.819999695,,,
Workday Inc,2025-02-05,Other,0.0580043526057612,2025-01-20,16,San Francisco,37.619806,-122.374821,Sydney (Mascot),-33.946098,151.177002
Workday Inc,2025-02-05,Other,0.0580043526057612,2025-01-20,16,Livermore,37.6934013367,-121.819999695,San Francisco,37.619806,-122.374821
Workday Inc,2025-02-05,Other,0.0580043526057612,2025-01-22,14,Sydney (Mascot),-33.946098,151.177002,Melbourne,-37.670732,144.837898
Workday Inc,2025-02-05,Other,0.0580043526057612,2025-01-26,10,San Francisco,37.619806,-122.374821,Livermore,37.6934013367,-121.819999695
Workday Inc,2025-02-05,Other,0.0580043526057612,2025-01-25,11,Melbourne,-37.670732,144.837898,San Francisco,37.619806,-122.374821
Workday Inc,2025-02-25,Executive_Change,0.0707261940143118,2025-01-26,30,San Francisco,37.619806,-122.374821,Livermore,37.6934013367,-121.819999695
Workday Inc,2025-02-25,Earnings,0.0707261940143118,2025-01-26,30,San Francisco,37.619806,-122.374821,Livermore,37.6934013367,-121.819999695
CenterPoint Energy Inc,2024-10-28,Earnings,-0.0026261107269201,2024-10-02,26,Teterboro,40.850101,-74.060799,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-10-28,Earnings,-0.0026261107269201,2024-10-16,12,Austin,30.197535,-97.662015,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-10-28,Earnings,-0.0026261107269201,2024-10-15,13,,,,Austin,30.197535,-97.662015
CenterPoint Energy Inc,2024-10-28,Earnings,-0.0026261107269201,2024-10-18,10,Kansas City,39.123199,-94.592796,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-10-28,Earnings,-0.0026261107269201,2024-10-17,11,Houston,29.645336,-95.276812,Kansas City,39.301699,-94.713893
CenterPoint Energy Inc,2024-10-31,Material_Agreement,-0.021467791374587,2024-10-02,29,Teterboro,40.850101,-74.060799,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-10-31,Material_Agreement,-0.021467791374587,2024-10-16,15,Austin,30.197535,-97.662015,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-10-31,Material_Agreement,-0.021467791374587,2024-10-15,16,,,,Austin,30.197535,-97.662015
CenterPoint Energy Inc,2024-10-31,Material_Agreement,-0.021467791374587,2024-10-18,13,Kansas City,39.123199,-94.592796,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-10-31,Material_Agreement,-0.021467791374587,2024-10-17,14,Houston,29.645336,-95.276812,Kansas City,39.301699,-94.713893
CenterPoint Energy Inc,2024-10-31,Material_Agreement,-0.021467791374587,2024-10-28,3,Houston,29.645336,-95.276812,Mount Vernon,37.9039,-87.790298
CenterPoint Energy Inc,2024-10-31,Material_Agreement,-0.021467791374587,2024-10-29,2,,,,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-10-16,27,Austin,30.197535,-97.662015,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-10-15,28,,,,Austin,30.197535,-97.662015
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-10-18,25,Kansas City,39.123199,-94.592796,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-10-17,26,Houston,29.645336,-95.276812,Kansas City,39.301699,-94.713893
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-10-28,15,Houston,29.645336,-95.276812,Mount Vernon,37.9039,-87.790298
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-10-29,14,,,,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-10-31,12,Houston,29.645336,-95.276812,Napa,38.2132,-122.280998
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-11-03,9,Napa,38.2132,-122.280998,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-11-04,8,Houston,29.645336,-95.276812,Teterboro,40.850101,-74.060799
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-11-07,5,Austin,30.197535,-97.662015,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-11-07,5,,,,Austin,30.197535,-97.662015
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-11-06,6,Boston,42.36197,-71.0079,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-11-06,6,Teterboro,40.850101,-74.060799,Boston,42.36197,-71.0079
CenterPoint Energy Inc,2024-11-12,Other,0.0008943275540024,2024-11-10,2,Houston,29.645336,-95.276812,Fort Lauderdale,26.072599,-80.152702
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-03,30,Napa,38.2132,-122.280998,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-04,29,Houston,29.645336,-95.276812,Teterboro,40.850101,-74.060799
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-07,26,Austin,30.197535,-97.662015,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-07,26,,,,Austin,30.197535,-97.662015
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-06,27,Boston,42.36197,-71.0079,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-06,27,Teterboro,40.850101,-74.060799,Boston,42.36197,-71.0079
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-10,23,Houston,29.645336,-95.276812,Fort Lauderdale,26.072599,-80.152702
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-12,21,Fort Lauderdale,26.072599,-80.152702,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-21,12,Austin,30.197535,-97.662015,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-12-03,Executive_Change,-0.0125767425252002,2024-11-21,12,,,,Austin,30.197535,-97.662015
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-11-21,25,Austin,30.197535,-97.662015,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-11-21,25,,,,Austin,30.197535,-97.662015
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-12-04,12,,,,Houston,29.645336,-95.276812
CenterPoint Energy Inc,2024-12-16,Executive_Change,-0.0062856575347726,2024-12-04,12,Houston,29.645336,-95.276812,,,
