variable,model,coef,tstat,pval,r_squared,n
flight_count_30d,Model 1,-0.000998103447472279,-0.49395377941791374,0.6213388223816301,0.007469341509085847,39
flight_count_30d,Model 2,-0.001589627266689194,-0.5131994998459704,0.6078117757896955,0.009323352659195816,39
flight_count_7d,Model 2,0.0016169263911056887,0.3375901910429449,0.735672035074392,0.009323352659195816,39
flight_count_30d,Model 3,-0.0032840544708018595,-0.5974528539423086,0.5502050749580224,0.0724140144881732,39
flight_count_7d,Model 3,0.002685574395943725,0.34677429506412066,0.7287608897939933,0.0724140144881732,39
et_Executive_Change,Model 3,-0.017666317439552714,-0.38176756284794056,0.7026337807633171,0.0724140144881732,39
et_Material_Agreement,Model 3,-0.028591691419424903,-0.2820818150494676,0.7778807767559637,0.0724140144881732,39
et_Other,Model 3,0.013858063704019916,0.4582736345991356,0.646755863599904,0.0724140144881732,39
firm_Great Southern Bancorp Inc,Model 3,-0.008603871585126514,-0.19108179154343855,0.8484615130359552,0.0724140144881732,39
firm_Macy's Inc,Model 3,0.011970523854898952,0.4142393411048539,0.6786988327661054,0.0724140144881732,39
firm_Murphy USA Inc,Model 3,0.001810363762113427,0.049282630511292974,0.9606940615405501,0.0724140144881732,39
firm_Newell Brands Inc,Model 3,-0.03011393511198613,-0.24128436992697486,0.8093347240745387,0.0724140144881732,39
firm_Workday Inc,Model 3,0.011841933752379175,0.3373746047197945,0.7358345261144263,0.0724140144881732,39
