filing_date,company_name,ticker,cik,accession_number,item_codes,event_type,description,target_or_counterparty,target_location,source_url
2024-10-10,Liberty Media Corp,FWONA,1560385,0001560385-24-000023,"7.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000156038524000023/lmca-20241010x8k.htm
2024-10-22,Liberty Media Corp,FWONA,1560385,0001560385-24-000025,"7.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000156038524000025/lmca-20241021x8k.htm
2024-11-12,Liberty Media Corp,FWONA,1560385,0001560385-24-000028,"2.02,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000156038524000028/lmca-20241107x8k.htm
2024-11-13,Liberty Media Corp,FWONA,1560385,0001104659-24-117311,"5.02,7.01,8.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000110465924117311/tm2428305d1_8k.htm
2024-12-09,Liberty Media Corp,FWONA,1560385,0001560385-24-000031,"5.02,7.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000156038524000031/lmca-20241206x8k.htm
2024-12-19,Liberty Media Corp,FWONA,1560385,0001104659-24-130068,"1.01,7.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000110465924130068/tm2431536d1_8k.htm
2025-01-08,Liberty Media Corp,FWONA,1560385,0001104659-25-002027,"5.02,7.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000110465925002027/tm252278d1_8k.htm
2025-01-31,Liberty Media Corp,FWONA,1560385,0001560385-25-000002,"7.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000156038525000002/lmca-20250130x8k.htm
2025-02-24,Liberty Media Corp,FWONA,1560385,0001560385-25-000004,"7.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000156038525000004/lmca-20250221x8k.htm
2025-02-28,Liberty Media Corp,FWONA,1560385,0001560385-25-000006,"2.02,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1560385/000156038525000006/lmca-20250227x8k.htm
2024-10-25,Newell Brands Inc,NWL,814453,0000814453-24-000111,"2.02,9.01",,,,,https://www.sec.gov/Archives/edgar/data/814453/000081445324000111/nwl-20241025.htm
2024-10-30,Newell Brands Inc,NWL,814453,0001193125-24-247647,"8.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/814453/000119312524247647/d903434d8k.htm
2024-11-13,Newell Brands Inc,NWL,814453,0001193125-24-256691,"1.01,2.03,9.01",,,,,https://www.sec.gov/Archives/edgar/data/814453/000119312524256691/d853098d8k.htm
2025-02-07,Newell Brands Inc,NWL,814453,0000814453-25-000003,"2.02,9.01",,,,,https://www.sec.gov/Archives/edgar/data/814453/000081445325000003/nwl-20250207.htm
2025-02-19,Newell Brands Inc,NWL,814453,0000950170-25-023244,"5.02,9.01",,,,,https://www.sec.gov/Archives/edgar/data/814453/000095017025023244/nwl-20250217.htm
2024-10-01,Workday Inc,WDAY,1327811,0001327811-24-000198,"5.02,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1327811/000132781124000198/wday-20240925.htm
2024-11-26,Workday Inc,WDAY,1327811,0001327811-24-000234,"5.02,7.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1327811/000132781124000234/wday-20241125.htm
2024-11-26,Workday Inc,WDAY,1327811,0001327811-24-000233,"2.02,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1327811/000132781124000233/wday-20241126.htm
2024-12-03,Workday Inc,WDAY,1327811,0001327811-24-000238,"5.02,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1327811/000132781124000238/wday-20241203.htm
2025-02-05,Workday Inc,WDAY,1327811,0001327811-25-000030,"2.02,2.05,2.06,7.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1327811/000132781125000030/wday-20250205.htm
2025-02-25,Workday Inc,WDAY,1327811,0001327811-25-000041,"5.02,7.01,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1327811/000132781125000041/wday-20250220.htm
2025-02-25,Workday Inc,WDAY,1327811,0001327811-25-000040,"2.02,9.01",,,,,https://www.sec.gov/Archives/edgar/data/1327811/000132781125000040/wday-20250225.htm
