icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount,tail_number,company_name
ac7f36,1732728395,KBTL,1732733251,KPDK,EJM904  ,1998.0,517.0,3497,128,1,8,N904NB,NEWELL BRANDS INC.
ac7f36,1732715259,KBTL,1732720937,KBTL,EJM904  ,2755.0,479.0,15026,601,1,4,N904NB,NEWELL BRANDS INC.
ac7f36,1733177635,40AR,1733186190,KTEB,EJM904  ,10450.0,1991.0,2214,20,0,5,N904NB,NEWELL BRANDS INC.
ac7f36,1733144240,KPDK,1733150018,AR11,EJM904  ,1118.0,8.0,2564,397,1,14,N904NB,NEWELL BRANDS INC.
ac7f36,1733436426,KTEB,1733443116,KPDK,EJM904  ,1193.0,302.0,2013,21,0,6,N904NB,NEWELL BRANDS INC.
ac7f36,1733953294,KIAD,1733958642,KPDK,EJM904  ,1143.0,87.0,1989,29,2,6,N904NB,NEWELL BRANDS INC.
ac7f36,1733856340,,1733859759,2MD3,EJM904  ,,,8003,822,0,13,N904NB,NEWELL BRANDS INC.
ac7f36,1736778794,KPDK,1736782396,KPDK,N904NB  ,873.0,60.0,1864,8,1,6,N904NB,NEWELL BRANDS INC.
ac7f36,1737066536,AR11,1737070778,KPDK,N904NB  ,2649.0,893.0,3443,113,7,8,N904NB,NEWELL BRANDS INC.
ac7f36,1737028870,KPDK,1737033923,18AR,N904NB  ,1201.0,82.0,4279,1112,1,14,N904NB,NEWELL BRANDS INC.
ac7f36,1738016551,AR11,1738020594,KPDK,N904NB  ,2234.0,1220.0,2998,105,7,8,N904NB,NEWELL BRANDS INC.
ac7f36,1737999556,KPDK,1738005006,18AR,N904NB  ,976.0,128.0,1870,1150,1,13,N904NB,NEWELL BRANDS INC.
ac7f36,1739892985,KPDK,1739895663,KPDK,EJM904  ,923.0,44.0,2830,52,1,6,N904NB,NEWELL BRANDS INC.
ac7f36,1740950471,KPDK,1740956104,KMDW,EJM904  ,3242.0,349.0,4318,146,1,2,N904NB,NEWELL BRANDS INC.
ac7f36,1741047222,KMDW,1741052569,KTEB,EJM904  ,999.0,176.0,1772,2,0,3,N904NB,NEWELL BRANDS INC.
ac7f36,1741293634,KBOS,1741301554,KPDK,EJM904  ,1287.0,222.0,2312,98,0,6,N904NB,NEWELL BRANDS INC.
ac7f36,1742217307,KPDK,1742220969,KMCO,EJM904  ,1190.0,136.0,7853,283,1,6,N904NB,NEWELL BRANDS INC.
ac7f36,1742311943,KPDK,1742316857,KBTL,EJM904  ,593.0,29.0,13998,624,1,3,N904NB,NEWELL BRANDS INC.
ac7f36,1742304968,KMCO,1742309009,KPDK,EJM904  ,2938.0,549.0,2419,14,1,8,N904NB,NEWELL BRANDS INC.
ac7f36,1743185951,KBTL,1743190618,KPDK,EJM904  ,2691.0,723.0,3234,60,1,8,N904NB,NEWELL BRANDS INC.
