tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N904NB,NEWELL BRANDS INC.,ac7f36,2024-11-27,2024-11-27 17:26:35+00:00,2024-11-27 18:47:31+00:00,80.9,KBTL,Battle Creek Executive Airport at Kellogg Field,Battle Creek,US,42.307301,-85.251503,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
N904NB,NEWELL BRANDS INC.,ac7f36,2024-11-27,2024-11-27 13:47:39+00:00,2024-11-27 15:22:17+00:00,94.6,KBTL,Battle Creek Executive Airport at Kellogg Field,Battle Creek,US,42.307301,-85.251503,KBTL,Battle Creek Executive Airport at Kellogg Field,Battle Creek,US,42.307301,-85.251503
N904NB,NEWELL BRANDS INC.,ac7f36,2024-12-02,2024-12-02 22:13:55+00:00,2024-12-03 00:36:30+00:00,142.6,40AR,Lost Bridge Village Airport,Garfield,US,36.392799377441406,-93.9123992919922,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799
N904NB,NEWELL BRANDS INC.,ac7f36,2024-12-02,2024-12-02 12:57:20+00:00,2024-12-02 14:33:38+00:00,96.3,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213,AR11,Ozark Aerodrome,Rogers,US,36.287487,-94.08774
N904NB,NEWELL BRANDS INC.,ac7f36,2024-12-05,2024-12-05 22:07:06+00:00,2024-12-05 23:58:36+00:00,111.5,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
N904NB,NEWELL BRANDS INC.,ac7f36,2024-12-11,2024-12-11 21:41:34+00:00,2024-12-11 23:10:42+00:00,89.1,KIAD,Washington Dulles International Airport,Dulles,US,38.9445,-77.455803,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
N904NB,NEWELL BRANDS INC.,ac7f36,2024-12-10,2024-12-10 18:45:40+00:00,2024-12-10 19:42:39+00:00,57.0,,,,,,,2MD3,Fly Away Farm Airport,Boyds,US,39.229,-77.345333
N904NB,NEWELL BRANDS INC.,ac7f36,2025-01-13,2025-01-13 14:33:14+00:00,2025-01-13 15:33:16+00:00,60.0,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
N904NB,NEWELL BRANDS INC.,ac7f36,2025-01-16,2025-01-16 22:28:56+00:00,2025-01-16 23:39:38+00:00,70.7,AR11,Ozark Aerodrome,Rogers,US,36.287487,-94.08774,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
N904NB,NEWELL BRANDS INC.,ac7f36,2025-01-16,2025-01-16 12:01:10+00:00,2025-01-16 13:25:23+00:00,84.2,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213,18AR,Buck Mountain Airport,Eureka Springs,US,36.339439,-93.825036
N904NB,NEWELL BRANDS INC.,ac7f36,2025-01-27,2025-01-27 22:22:31+00:00,2025-01-27 23:29:54+00:00,67.4,AR11,Ozark Aerodrome,Rogers,US,36.287487,-94.08774,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
N904NB,NEWELL BRANDS INC.,ac7f36,2025-01-27,2025-01-27 17:39:16+00:00,2025-01-27 19:10:06+00:00,90.8,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213,18AR,Buck Mountain Airport,Eureka Springs,US,36.339439,-93.825036
N904NB,NEWELL BRANDS INC.,ac7f36,2025-02-18,2025-02-18 15:36:25+00:00,2025-02-18 16:21:03+00:00,44.6,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213
N904NB,NEWELL BRANDS INC.,ac7f36,2025-03-02,2025-03-02 21:21:11+00:00,2025-03-02 22:55:04+00:00,93.9,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213,KMDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403
